pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p4,realistic-engaged,thr-rusher,threshold,0,engagement-profile,246774.02,13500.00,5,N,,,5101808995.18,0.00,569.00,13682.52,142052.90,245876.02,0.00,3600.00,900.00,8100.00,900.00,9.6423e-1,1.3475e+5,3.5142e+6,4.2082e+10,
p4,realistic-engaged,thr-rusher,threshold,1,engagement-profile,225387.00,16200.00,5,N,,,73131454019.65,0.00,569.00,39510.51,115121.22,224489.00,0.00,3600.00,6300.00,5400.00,900.00,9.6423e-1,4.7842e+5,5.3440e+6,1.0933e+11,
p4,realistic-engaged,thr-rusher,threshold,2,engagement-profile,246540.53,14400.00,5,N,,,5117305632.63,0.00,569.00,11365.89,138115.00,245642.53,0.00,3600.00,5400.00,4500.00,900.00,9.6423e-1,1.0392e+5,4.0910e+6,2.3723e+10,
p4,realistic-engaged,thr-rusher,threshold,3,engagement-profile,372728.91,14400.00,5,N,,,243479046046.70,0.00,569.00,26213.78,125738.80,371830.91,0.00,3600.00,3600.00,6300.00,900.00,9.6423e-1,3.0149e+5,2.6139e+6,2.8041e+11,
p4,realistic-engaged,thr-rusher,threshold,4,engagement-profile,288730.85,11700.00,5,N,,,21411592675.98,0.00,569.00,16876.31,154220.53,287832.85,0.00,3600.00,3600.00,3600.00,900.00,9.6423e-1,1.7725e+5,1.0144e+7,5.8234e+10,
p4,realistic-engaged,thr-rusher,threshold,5,engagement-profile,246280.81,12600.00,5,N,,,14385878862.79,0.00,569.00,22256.71,158052.10,245382.81,0.00,3600.00,2700.00,5400.00,900.00,9.6423e-1,2.4884e+5,6.7151e+6,5.1302e+10,
p4,realistic-engaged,thr-rusher,threshold,6,engagement-profile,291030.57,9900.00,5,N,,,98530929.49,0.00,569.00,10197.24,152854.08,290132.57,0.00,3600.00,1800.00,3600.00,900.00,9.6423e-1,8.8380e+4,6.4115e+6,3.5157e+10,
p4,realistic-engaged,thr-rusher,threshold,7,engagement-profile,220166.74,14400.00,5,N,,,146137930.10,0.00,569.00,6786.07,99785.98,219268.74,0.00,3600.00,5400.00,4500.00,900.00,9.6423e-1,4.2993e+4,2.9663e+6,2.4896e+10,
p4,realistic-engaged,thr-rusher,threshold,8,engagement-profile,390962.34,9900.00,5,N,,,212815511.76,0.00,569.00,110421.72,171647.97,390064.34,0.00,3600.00,1800.00,3600.00,900.00,9.6423e-1,1.4220e+6,3.3727e+6,3.7198e+10,
p4,realistic-engaged,thr-rusher,threshold,9,engagement-profile,282804.09,14400.00,5,N,,,153710089.10,0.00,569.00,15599.78,148051.59,281906.09,0.00,3600.00,6300.00,3600.00,900.00,9.6423e-1,1.6026e+5,1.2830e+7,2.1321e+10,
p4,realistic-engaged,thr-rusher,threshold,10,engagement-profile,204895.65,15300.00,5,N,,,12786891110.83,0.00,569.00,19238.09,129871.21,203997.65,0.00,3600.00,4500.00,6300.00,900.00,9.6423e-1,2.0868e+5,4.3092e+6,2.2582e+10,
p4,realistic-engaged,thr-rusher,threshold,11,engagement-profile,228255.11,15300.00,5,N,,,35077332418.51,0.00,569.00,7663.29,121377.87,227357.11,0.00,3600.00,4500.00,6300.00,900.00,9.6423e-1,5.4662e+4,6.9108e+6,7.1768e+10,
p4,realistic-engaged,thr-rusher,threshold,12,engagement-profile,269170.18,17100.00,5,N,,,52878090865.45,0.00,569.00,12799.95,106969.47,268272.18,0.00,3600.00,9000.00,3600.00,900.00,9.6423e-1,1.2300e+5,5.4982e+6,8.9704e+10,
p4,realistic-engaged,thr-rusher,threshold,13,engagement-profile,258149.23,14400.00,5,N,,,14148333493.14,0.00,569.00,16836.53,145477.95,257251.23,0.00,3600.00,6300.00,3600.00,900.00,9.6423e-1,1.7672e+5,1.6157e+7,5.0971e+10,
p4,realistic-engaged,thr-rusher,threshold,14,engagement-profile,331372.02,15300.00,5,N,,,108216878370.79,0.00,569.00,28831.80,167508.47,330474.02,0.00,3600.00,5400.00,5400.00,900.00,9.6423e-1,3.3633e+5,8.8107e+6,1.4511e+11,
p4,realistic-engaged,thr-rusher,threshold,15,engagement-profile,229088.56,15300.00,5,N,,,222194806.69,0.00,569.00,70509.57,136687.38,228190.56,0.00,3600.00,5400.00,5400.00,900.00,9.6423e-1,8.9090e+5,4.5727e+6,2.0661e+10,
p4,realistic-engaged,thr-rusher,threshold,16,engagement-profile,236355.82,17100.00,5,N,,,308732924.21,0.00,569.00,6527.97,115439.54,235457.82,0.00,3600.00,7200.00,5400.00,900.00,9.6423e-1,3.9547e+4,7.8081e+6,3.6436e+10,
p4,realistic-engaged,thr-rusher,threshold,17,engagement-profile,212809.59,15300.00,5,N,,,329220859.22,0.00,569.00,33594.44,124343.70,211911.59,0.00,3600.00,4500.00,6300.00,900.00,9.6423e-1,3.9970e+5,5.0187e+6,2.2633e+10,
p4,realistic-engaged,thr-rusher,threshold,18,engagement-profile,232784.84,13500.00,5,N,,,19061251420.55,0.00,569.00,12820.27,110735.16,231886.84,0.00,3600.00,2700.00,6300.00,900.00,9.6423e-1,1.2328e+5,2.7092e+6,5.5954e+10,
