pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass
p1,engaged-steady,completionist,completion,0,engagement-profile,204523.43,2700.00,4,N,,,18189058941.25,0.00,13935.70,184307.87,203629.43,0.00,900.00,900.00,900.00,3.7219e+1,1.4226e+7,3.0359e+9,
p1,engaged-steady,completionist,completion,1,engagement-profile,90635.69,2700.00,4,N,,,429958368.92,0.00,48373.02,81801.53,89743.69,0.00,900.00,900.00,900.00,3.7219e+1,2.5328e+6,2.6023e+8,
p1,engaged-steady,completionist,completion,2,engagement-profile,64313.23,2700.00,4,N,,,6656947.39,0.00,10846.86,54240.67,63421.23,0.00,900.00,900.00,900.00,3.7219e+1,3.3837e+6,6.2687e+8,
p2,engaged-steady,consolidation-threshold,threshold,0,engagement-profile,204523.43,2700.00,4,N,,,3113746.71,0.00,13773.70,184301.87,203625.43,0.00,900.00,900.00,900.00,1.7642e+1,1.3686e+7,1.2303e+9,
p2,engaged-steady,consolidation-threshold,threshold,1,engagement-profile,90635.69,2700.00,4,N,,,97810401.68,0.00,48211.02,81795.53,89738.69,0.00,900.00,900.00,900.00,1.7642e+1,2.6547e+6,4.0368e+8,
p2,engaged-steady,consolidation-threshold,threshold,2,engagement-profile,64313.23,2700.00,4,N,,,421154282.06,0.00,10684.86,54234.67,63416.23,0.00,900.00,900.00,900.00,1.7642e+1,3.4574e+6,6.0594e+8,
