pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,320880.13,15300.00,5,N,,,12925426772.75,0.00,700.00,13687.52,226779.80,319988.13,0.00,3600.00,7200.00,3600.00,900.00,1.0062e+0,1.4180e+5,2.2083e+7,1.8025e+11,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,158283.16,12600.00,5,N,,,21528466975.26,0.00,700.00,39515.51,101187.03,157390.16,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,5.0434e+5,8.4564e+7,1.6732e+11,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,246540.53,14400.00,5,N,,,31490943514.40,0.00,700.00,11370.89,147732.99,245647.53,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.0928e+5,5.5025e+7,5.8947e+11,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,291941.10,10800.00,5,N,,,17319622657.34,0.00,700.00,26218.78,125744.80,291048.10,0.00,3600.00,3600.00,2700.00,900.00,1.0062e+0,3.1770e+5,5.7450e+7,5.4409e+11,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,250544.95,10800.00,5,N,,,18637434962.40,0.00,700.00,16881.31,178518.49,249652.95,0.00,3600.00,4500.00,1800.00,900.00,1.0062e+0,1.8664e+5,2.3863e+8,6.9840e+10,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,217558.99,10800.00,5,N,,,19510079848.65,0.00,700.00,22261.71,158058.10,216665.99,0.00,3600.00,2700.00,3600.00,900.00,1.0062e+0,2.6215e+5,1.6915e+8,4.0067e+11,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,267723.32,9000.00,5,N,,,31504785294.47,0.00,700.00,10202.24,213900.44,266831.32,0.00,3600.00,2700.00,1800.00,900.00,1.0062e+0,9.2884e+4,1.6318e+9,1.7290e+11,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,195452.86,12600.00,5,N,,,16143191085.38,0.00,700.00,6791.07,99786.98,194560.86,0.00,3600.00,5400.00,2700.00,900.00,1.0062e+0,4.5005e+4,5.2750e+7,3.3885e+11,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,256622.52,8100.00,5,N,,,175168670783.83,0.00,700.00,110426.72,172412.97,255730.52,0.00,3600.00,1800.00,1800.00,900.00,1.0062e+0,1.4997e+6,2.2173e+7,2.3652e+11,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,231361.29,11700.00,5,N,,,16666191784.34,0.00,700.00,15604.78,148052.59,230469.29,0.00,3600.00,6300.00,900.00,900.00,1.0062e+0,1.6871e+5,2.3853e+9,9.0682e+10,
p1,realistic-engaged,comp-hoarder,completion,10,engagement-profile,176672.37,13500.00,5,N,,,33524053552.61,0.00,700.00,19243.09,129873.21,175951.37,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,2.1979e+5,4.2992e+7,5.1260e+10,
p1,realistic-engaged,comp-hoarder,completion,11,engagement-profile,204909.15,13500.00,5,N,,,16948089477.51,0.00,700.00,7668.29,121379.87,204016.15,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,5.7315e+4,5.4691e+7,6.0344e+11,
p1,realistic-engaged,comp-hoarder,completion,12,engagement-profile,131617.13,14400.00,5,N,,,13062847484.78,0.00,700.00,12804.95,71156.29,130725.13,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.2941e+5,2.5700e+7,9.8919e+10,
p1,realistic-engaged,comp-hoarder,completion,13,engagement-profile,258149.23,14400.00,5,N,,,13810989225.94,0.00,700.00,16841.53,145478.95,257256.23,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.8607e+5,3.5298e+7,6.8363e+11,
p1,realistic-engaged,comp-hoarder,completion,14,engagement-profile,241339.90,12600.00,5,N,,,927073664960.31,0.00,700.00,28836.80,87056.80,240446.90,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,3.5444e+5,6.6656e+7,2.0506e+12,
p1,realistic-engaged,comp-hoarder,completion,15,engagement-profile,179702.34,11700.00,5,N,,,24607497340.73,0.00,700.00,70514.57,123610.28,178810.34,0.00,3600.00,4500.00,2700.00,900.00,1.0062e+0,9.3947e+5,1.3283e+8,1.0730e+11,
p1,realistic-engaged,comp-hoarder,completion,16,engagement-profile,152923.16,12600.00,5,N,,,32536425625.15,0.00,700.00,6532.97,96652.46,152030.16,0.00,3600.00,6300.00,1800.00,900.00,1.0062e+0,4.1369e+4,9.2498e+8,5.9282e+10,
p1,realistic-engaged,comp-hoarder,completion,17,engagement-profile,178646.26,10800.00,5,N,,,25228467058.28,0.00,700.00,33599.44,117111.77,177754.26,0.00,3600.00,3600.00,2700.00,900.00,1.0062e+0,4.2130e+5,6.3231e+7,9.6248e+10,
p1,realistic-engaged,comp-hoarder,completion,18,engagement-profile,186661.86,10800.00,5,N,,,36069396297.72,0.00,700.00,12825.27,131711.39,185769.86,0.00,3600.00,3600.00,2700.00,900.00,1.0062e+0,1.2970e+5,4.1551e+8,1.0004e+11,
p1,realistic-engaged,comp-hoarder,completion,19,engagement-profile,180821.07,12600.00,5,N,,,42793683642.78,0.00,700.00,33527.24,125480.20,180319.07,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,4.2029e+5,3.7677e+7,3.1772e+10,
